name,artist,features
Starboy,"The Weeknd, Daft Punk","{'danceability': 0.679, 'energy': 0.587, 'key': 7, 'loudness': -7.015, 'mode': 1, 'speechiness': 0.276, 'acousticness': 0.141, 'instrumentalness': 6.35e-06, 'liveness': 0.137, 'valence': 0.486, 'tempo': 186.003, 'type': 'audio_features', 'id': '7MXVkk9YMctZqd1Srtv4MB', 'uri': 'spotify:track:7MXVkk9YMctZqd1Srtv4MB', 'track_href': 'https://api.spotify.com/v1/tracks/7MXVkk9YMctZqd1Srtv4MB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7MXVkk9YMctZqd1Srtv4MB', 'duration_ms': 230453, 'time_signature': 4}"
Rockin' Around The Christmas Tree,Brenda Lee,"{'danceability': 0.589, 'energy': 0.472, 'key': 8, 'loudness': -8.749, 'mode': 1, 'speechiness': 0.0502, 'acousticness': 0.614, 'instrumentalness': 0, 'liveness': 0.505, 'valence': 0.898, 'tempo': 67.196, 'type': 'audio_features', 'id': '2EjXfH91m7f8HiJN1yQg97', 'uri': 'spotify:track:2EjXfH91m7f8HiJN1yQg97', 'track_href': 'https://api.spotify.com/v1/tracks/2EjXfH91m7f8HiJN1yQg97', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2EjXfH91m7f8HiJN1yQg97', 'duration_ms': 126267, 'time_signature': 4}"
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,"{'danceability': 0.596, 'energy': 0.658, 'key': 0, 'loudness': -7.346, 'mode': 1, 'speechiness': 0.036, 'acousticness': 0.0504, 'instrumentalness': 0, 'liveness': 0.127, 'valence': 0.176, 'tempo': 100.012, 'type': 'audio_features', 'id': '1Iq8oo9XkmmvCQiGOfORiz', 'uri': 'spotify:track:1Iq8oo9XkmmvCQiGOfORiz', 'track_href': 'https://api.spotify.com/v1/tracks/1Iq8oo9XkmmvCQiGOfORiz', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1Iq8oo9XkmmvCQiGOfORiz', 'duration_ms': 229478, 'time_signature': 4}"
Standing Next to You,Jung Kook,"{'danceability': 0.711, 'energy': 0.809, 'key': 2, 'loudness': -4.389, 'mode': 0, 'speechiness': 0.0955, 'acousticness': 0.0447, 'instrumentalness': 0, 'liveness': 0.339, 'valence': 0.816, 'tempo': 106.017, 'type': 'audio_features', 'id': '2KslE17cAJNHTsI2MI0jb2', 'uri': 'spotify:track:2KslE17cAJNHTsI2MI0jb2', 'track_href': 'https://api.spotify.com/v1/tracks/2KslE17cAJNHTsI2MI0jb2', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2KslE17cAJNHTsI2MI0jb2', 'duration_ms': 206020, 'time_signature': 4}"
Kill Bill,SZA,"{'danceability': 0.644, 'energy': 0.735, 'key': 8, 'loudness': -5.747, 'mode': 1, 'speechiness': 0.0391, 'acousticness': 0.0521, 'instrumentalness': 0.144, 'liveness': 0.161, 'valence': 0.418, 'tempo': 88.98, 'type': 'audio_features', 'id': '1Qrg8KqiBpW07V7PNxwwwL', 'uri': 'spotify:track:1Qrg8KqiBpW07V7PNxwwwL', 'track_href': 'https://api.spotify.com/v1/tracks/1Qrg8KqiBpW07V7PNxwwwL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1Qrg8KqiBpW07V7PNxwwwL', 'duration_ms': 153947, 'time_signature': 4}"
Daylight,David Kushner,"{'danceability': 0.508, 'energy': 0.43, 'key': 2, 'loudness': -9.475, 'mode': 0, 'speechiness': 0.0335, 'acousticness': 0.83, 'instrumentalness': 0.000441, 'liveness': 0.093, 'valence': 0.324, 'tempo': 130.09, 'type': 'audio_features', 'id': '1odExI7RdWc4BT515LTAwj', 'uri': 'spotify:track:1odExI7RdWc4BT515LTAwj', 'track_href': 'https://api.spotify.com/v1/tracks/1odExI7RdWc4BT515LTAwj', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1odExI7RdWc4BT515LTAwj', 'duration_ms': 212954, 'time_signature': 4}"
Sleigh Ride,The Ronettes,"{'danceability': 0.529, 'energy': 0.772, 'key': 2, 'loudness': -7.013, 'mode': 1, 'speechiness': 0.0287, 'acousticness': 0.403, 'instrumentalness': 2.21e-06, 'liveness': 0.316, 'valence': 0.853, 'tempo': 91.751, 'type': 'audio_features', 'id': '7fUYUcWy853HS8YJn0b3Sr', 'uri': 'spotify:track:7fUYUcWy853HS8YJn0b3Sr', 'track_href': 'https://api.spotify.com/v1/tracks/7fUYUcWy853HS8YJn0b3Sr', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7fUYUcWy853HS8YJn0b3Sr', 'duration_ms': 181267, 'time_signature': 4}"
It's Beginning to Look a Lot like Christmas,Michael Bublé,"{'danceability': 0.331, 'energy': 0.223, 'key': 4, 'loudness': -11.274, 'mode': 1, 'speechiness': 0.0338, 'acousticness': 0.88, 'instrumentalness': 5.92e-06, 'liveness': 0.343, 'valence': 0.355, 'tempo': 92.896, 'type': 'audio_features', 'id': '1rv46mRwDqMEhOBZ7vODg3', 'uri': 'spotify:track:1rv46mRwDqMEhOBZ7vODg3', 'track_href': 'https://api.spotify.com/v1/tracks/1rv46mRwDqMEhOBZ7vODg3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1rv46mRwDqMEhOBZ7vODg3', 'duration_ms': 207200, 'time_signature': 3}"
Flowers,Miley Cyrus,"{'danceability': 0.706, 'energy': 0.691, 'key': 0, 'loudness': -4.775, 'mode': 1, 'speechiness': 0.0633, 'acousticness': 0.0584, 'instrumentalness': 6.99e-05, 'liveness': 0.0232, 'valence': 0.632, 'tempo': 118.048, 'type': 'audio_features', 'id': '7DSAEUvxU8FajXtRloy8M0', 'uri': 'spotify:track:7DSAEUvxU8FajXtRloy8M0', 'track_href': 'https://api.spotify.com/v1/tracks/7DSAEUvxU8FajXtRloy8M0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7DSAEUvxU8FajXtRloy8M0', 'duration_ms': 200600, 'time_signature': 4}"
Last Christmas - Single Version,Wham!,"{'danceability': 0.733, 'energy': 0.598, 'key': 2, 'loudness': -8.228, 'mode': 1, 'speechiness': 0.0278, 'acousticness': 0.212, 'instrumentalness': 3.71e-06, 'liveness': 0.156, 'valence': 0.935, 'tempo': 107.732, 'type': 'audio_features', 'id': '06qMRF18gwbOYYbnP2du6i', 'uri': 'spotify:track:06qMRF18gwbOYYbnP2du6i', 'track_href': 'https://api.spotify.com/v1/tracks/06qMRF18gwbOYYbnP2du6i', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/06qMRF18gwbOYYbnP2du6i', 'duration_ms': 265960, 'time_signature': 4}"
Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto","{'danceability': 0.79, 'energy': 0.831, 'key': 11, 'loudness': -4.185, 'mode': 1, 'speechiness': 0.044, 'acousticness': 0.312, 'instrumentalness': 0, 'liveness': 0.0797, 'valence': 0.872, 'tempo': 124.987, 'type': 'audio_features', 'id': '2HRgqmZQC0MC7GeNuDIXHN', 'uri': 'spotify:track:2HRgqmZQC0MC7GeNuDIXHN', 'track_href': 'https://api.spotify.com/v1/tracks/2HRgqmZQC0MC7GeNuDIXHN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2HRgqmZQC0MC7GeNuDIXHN', 'duration_ms': 183551, 'time_signature': 4}"
Santa Tell Me,Ariana Grande,"{'danceability': 0.525, 'energy': 0.621, 'key': 7, 'loudness': -7.364, 'mode': 1, 'speechiness': 0.116, 'acousticness': 0.0489, 'instrumentalness': 0, 'liveness': 0.294, 'valence': 0.591, 'tempo': 191.9, 'type': 'audio_features', 'id': '0lizgQ7Qw35od7CYaoMBZb', 'uri': 'spotify:track:0lizgQ7Qw35od7CYaoMBZb', 'track_href': 'https://api.spotify.com/v1/tracks/0lizgQ7Qw35od7CYaoMBZb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0lizgQ7Qw35od7CYaoMBZb', 'duration_ms': 204093, 'time_signature': 4}"
I Wanna Be Yours,Arctic Monkeys,"{'danceability': 0.464, 'energy': 0.417, 'key': 0, 'loudness': -9.345, 'mode': 0, 'speechiness': 0.0256, 'acousticness': 0.136, 'instrumentalness': 0.022, 'liveness': 0.0974, 'valence': 0.479, 'tempo': 67.528, 'type': 'audio_features', 'id': '5XeFesFbtLpXzIVDNQP22n', 'uri': 'spotify:track:5XeFesFbtLpXzIVDNQP22n', 'track_href': 'https://api.spotify.com/v1/tracks/5XeFesFbtLpXzIVDNQP22n', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5XeFesFbtLpXzIVDNQP22n', 'duration_ms': 183956, 'time_signature': 4}"
3D (feat. Jack Harlow),"Jung Kook, Jack Harlow","{'danceability': 0.853, 'energy': 0.824, 'key': 1, 'loudness': -3.287, 'mode': 1, 'speechiness': 0.103, 'acousticness': 0.0322, 'instrumentalness': 0, 'liveness': 0.0859, 'valence': 0.888, 'tempo': 108.044, 'type': 'audio_features', 'id': '01qFKNWq73UfEslI0GvumE', 'uri': 'spotify:track:01qFKNWq73UfEslI0GvumE', 'track_href': 'https://api.spotify.com/v1/tracks/01qFKNWq73UfEslI0GvumE', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/01qFKNWq73UfEslI0GvumE', 'duration_ms': 201812, 'time_signature': 4}"
