name,artist,features
So Cool,Reuben James,"{'danceability': 0.779, 'energy': 0.471, 'key': 1, 'loudness': -11.706, 'mode': 1, 'speechiness': 0.134, 'acousticness': 0.8, 'instrumentalness': 0.0018, 'liveness': 0.111, 'valence': 0.859, 'tempo': 82.953, 'type': 'audio_features', 'id': '7bChzDoU4kJ5zBbQyN0ASl', 'uri': 'spotify:track:7bChzDoU4kJ5zBbQyN0ASl', 'track_href': 'https://api.spotify.com/v1/tracks/7bChzDoU4kJ5zBbQyN0ASl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7bChzDoU4kJ5zBbQyN0ASl', 'duration_ms': 130121, 'time_signature': 4}"
Now I'm In It - Bonus Track,HAIM,"{'danceability': 0.717, 'energy': 0.707, 'key': 4, 'loudness': -9.495, 'mode': 1, 'speechiness': 0.0628, 'acousticness': 0.384, 'instrumentalness': 0.000117, 'liveness': 0.161, 'valence': 0.206, 'tempo': 105.014, 'type': 'audio_features', 'id': '5T8OICEqdqbx8Uz7L5abkH', 'uri': 'spotify:track:5T8OICEqdqbx8Uz7L5abkH', 'track_href': 'https://api.spotify.com/v1/tracks/5T8OICEqdqbx8Uz7L5abkH', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5T8OICEqdqbx8Uz7L5abkH', 'duration_ms': 204280, 'time_signature': 4}"
So Tell Me…,Nia Archives,"{'danceability': 0.565, 'energy': 0.636, 'key': 2, 'loudness': -5.855, 'mode': 1, 'speechiness': 0.0319, 'acousticness': 0.0484, 'instrumentalness': 0.0331, 'liveness': 0.0979, 'valence': 0.16, 'tempo': 170.0, 'type': 'audio_features', 'id': '3GJbXOYweOltxSiOsCNkMd', 'uri': 'spotify:track:3GJbXOYweOltxSiOsCNkMd', 'track_href': 'https://api.spotify.com/v1/tracks/3GJbXOYweOltxSiOsCNkMd', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3GJbXOYweOltxSiOsCNkMd', 'duration_ms': 227427, 'time_signature': 4}"
Life Will Be,Cleo Sol,"{'danceability': 0.557, 'energy': 0.408, 'key': 7, 'loudness': -8.656, 'mode': 1, 'speechiness': 0.0792, 'acousticness': 0.57, 'instrumentalness': 0.0131, 'liveness': 0.146, 'valence': 0.294, 'tempo': 102.343, 'type': 'audio_features', 'id': '4ZTC6KvnQxloiwmT0Yhypy', 'uri': 'spotify:track:4ZTC6KvnQxloiwmT0Yhypy', 'track_href': 'https://api.spotify.com/v1/tracks/4ZTC6KvnQxloiwmT0Yhypy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4ZTC6KvnQxloiwmT0Yhypy', 'duration_ms': 198201, 'time_signature': 4}"
JOY (God Only Knows),Joy Anonymous,"{'danceability': 0.48, 'energy': 0.952, 'key': 11, 'loudness': -3.643, 'mode': 0, 'speechiness': 0.246, 'acousticness': 0.0966, 'instrumentalness': 0.0286, 'liveness': 0.215, 'valence': 0.634, 'tempo': 131.956, 'type': 'audio_features', 'id': '2gTF3yPxvDpW2EAYbOVeIt', 'uri': 'spotify:track:2gTF3yPxvDpW2EAYbOVeIt', 'track_href': 'https://api.spotify.com/v1/tracks/2gTF3yPxvDpW2EAYbOVeIt', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2gTF3yPxvDpW2EAYbOVeIt', 'duration_ms': 266907, 'time_signature': 4}"
Phone Numbers,"Dominic Fike, Kenny Beats","{'danceability': 0.884, 'energy': 0.539, 'key': 1, 'loudness': -6.389, 'mode': 0, 'speechiness': 0.208, 'acousticness': 0.239, 'instrumentalness': 0, 'liveness': 0.0805, 'valence': 0.776, 'tempo': 85.008, 'type': 'audio_features', 'id': '3f9Mzvd3URfbbIJBX4pz9Z', 'uri': 'spotify:track:3f9Mzvd3URfbbIJBX4pz9Z', 'track_href': 'https://api.spotify.com/v1/tracks/3f9Mzvd3URfbbIJBX4pz9Z', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3f9Mzvd3URfbbIJBX4pz9Z', 'duration_ms': 146827, 'time_signature': 4}"
Catching Feelings (feat. SIX60),"Drax Project, SIX60","{'danceability': 0.396, 'energy': 0.521, 'key': 3, 'loudness': -5.877, 'mode': 1, 'speechiness': 0.101, 'acousticness': 0.605, 'instrumentalness': 0, 'liveness': 0.157, 'valence': 0.34, 'tempo': 175.558, 'type': 'audio_features', 'id': '0gCNs3jCCDhObAK0MRghtv', 'uri': 'spotify:track:0gCNs3jCCDhObAK0MRghtv', 'track_href': 'https://api.spotify.com/v1/tracks/0gCNs3jCCDhObAK0MRghtv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0gCNs3jCCDhObAK0MRghtv', 'duration_ms': 218854, 'time_signature': 4}"
Playground,Steve Lacy,"{'danceability': 0.482, 'energy': 0.788, 'key': 7, 'loudness': -6.307, 'mode': 1, 'speechiness': 0.0432, 'acousticness': 0.115, 'instrumentalness': 0.00374, 'liveness': 0.344, 'valence': 0.85, 'tempo': 191.772, 'type': 'audio_features', 'id': '6v23dkIy9AHxk8MAcOHBLu', 'uri': 'spotify:track:6v23dkIy9AHxk8MAcOHBLu', 'track_href': 'https://api.spotify.com/v1/tracks/6v23dkIy9AHxk8MAcOHBLu', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6v23dkIy9AHxk8MAcOHBLu', 'duration_ms': 213798, 'time_signature': 4}"
Big Dreams,Bakar,"{'danceability': 0.635, 'energy': 0.89, 'key': 11, 'loudness': -6.182, 'mode': 0, 'speechiness': 0.0769, 'acousticness': 0.00491, 'instrumentalness': 0, 'liveness': 0.0731, 'valence': 0.533, 'tempo': 180.045, 'type': 'audio_features', 'id': '0I6rPjtBatbnqWzqvQhvp4', 'uri': 'spotify:track:0I6rPjtBatbnqWzqvQhvp4', 'track_href': 'https://api.spotify.com/v1/tracks/0I6rPjtBatbnqWzqvQhvp4', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0I6rPjtBatbnqWzqvQhvp4', 'duration_ms': 153437, 'time_signature': 4}"
All Good,Samm Henshaw,"{'danceability': 0.6, 'energy': 0.83, 'key': 5, 'loudness': -2.789, 'mode': 1, 'speechiness': 0.311, 'acousticness': 0.154, 'instrumentalness': 0, 'liveness': 0.0865, 'valence': 0.941, 'tempo': 79.836, 'type': 'audio_features', 'id': '5rTLetGFtJPn2PxK5z19xs', 'uri': 'spotify:track:5rTLetGFtJPn2PxK5z19xs', 'track_href': 'https://api.spotify.com/v1/tracks/5rTLetGFtJPn2PxK5z19xs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5rTLetGFtJPn2PxK5z19xs', 'duration_ms': 152500, 'time_signature': 4}"
